instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
139204612,543768,NSLNISP,NMDC STEEL ,0,,0.0,0.01,1,EQ,BSE,BSE
3630081,14180,NSLNISP,NMDC STEEL,0,,0.0,0.01,1,EQ,NSE,NSE
139086852,543308,KIMS,KRISHNA INSTITUTE OF MEDICAL S,0,,0.0,0.05,1,EQ,BSE,BSE
1240833,4847,KIMS,KRISHNA INST OF MED SCI L,0,,0.0,0.05,1,EQ,NSE,NSE
136391428,532779,TORNTPOWER,TORRENT POWER,0,,0.0,0.05,1,EQ,BSE,BSE
3529217,13786,TORNTPOWER,TORRENT POWER,0,,0.0,0.1,1,EQ,NSE,NSE
128117508,500459,PGHH,PROCTER & GAMBLE HYGIENE & HEA,0,,0.0,0.05,1,EQ,BSE,BSE
648961,2535,PGHH,P&G HYGIENE & HEALTH CARE,0,,0.0,1.0,1,EQ,NSE,NSE
135927044,530965,IOC,INDIAN OIL CORPORATION,0,,0.0,0.05,1,EQ,BSE,BSE
415745,1624,IOC,INDIAN OIL CORP,0,,0.0,0.01,1,EQ,NSE,NSE
128128004,500500,HINDMOTORS,HINDUSTAN MOTORS,0,,0.0,0.01,1,EQ,BSE,BSE
138973956,542867,CSBBANK,CSB BANK ,0,,0.0,0.05,1,EQ,BSE,BSE
3831297,14966,CSBBANK,CSB BANK,0,,0.0,0.05,1,EQ,NSE,NSE
128178180,500696,HINDUNILVR,HINDUSTAN UNILEVER,0,,0.0,0.05,1,EQ,BSE,BSE
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER,0,,0.0,0.1,1,EQ,NSE,NSE
128168964,500660,GLAXO,GLAXOSMITHKLINE PHARMACEUTICAL,0,,0.0,0.05,1,EQ,BSE,BSE
295169,1153,GLAXO,GLAXOSMITHKLINE PHARMA LT,0,,0.0,0.1,1,EQ,NSE,NSE
128023556,500092,CRISIL,CRISIL,0,,0.0,0.05,1,EQ,BSE,BSE
193793,757,CRISIL,CRISIL,0,,0.0,0.1,1,EQ,NSE,NSE
133005316,519552,HERITGFOOD,HERITAGE FOODS,0,,0.0,0.05,1,EQ,BSE,BSE
1177089,4598,HERITGFOOD,HERITAGE FOODS,0,,0.0,0.05,1,EQ,NSE,NSE
128053508,500209,INFY,INFOSYS,0,,0.0,0.05,1,EQ,BSE,BSE
408065,1594,INFY,INFOSYS,0,,0.0,0.1,1,EQ,NSE,NSE
128140036,500547,BPCL,BHARAT PETROLEUM CORPORATION L,0,,0.0,0.05,1,EQ,BSE,BSE
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,0,,0.0,0.05,1,EQ,NSE,NSE
138095876,539437,IDFCFIRSTB,IDFC FIRST BANK,0,,0.0,0.01,1,EQ,BSE,BSE
2863105,11184,IDFCFIRSTB,IDFC FIRST BANK,0,,0.0,0.01,1,EQ,NSE,NSE
131215108,512559,KOHINOOR,KOHINOOR FOODS,0,,0.0,0.01,1,EQ,BSE,BSE
770305,3009,KOHINOOR,KOHINOOR FOODS,0,,0.0,0.01,1,EQ,NSE,NSE
128075524,500295,VEDL,VEDANTA,0,,0.0,0.05,1,EQ,BSE,BSE
784129,3063,VEDL,VEDANTA,0,,0.0,0.05,1,EQ,NSE,NSE
128212484,500830,COLPAL,COLGATE-PALMOLIVE (INDIA),0,,0.0,0.05,1,EQ,BSE,BSE
3876097,15141,COLPAL,COLGATE PALMOLIVE,0,,0.0,0.1,1,EQ,NSE,NSE
136354820,532636,IIFL,IIFL FINANCE,0,,0.0,0.05,1,EQ,BSE,BSE
3023105,11809,IIFL,IIFL FINANCE,0,,0.0,0.05,1,EQ,NSE,NSE
138414084,540680,KIOCL,KIOCL ,0,,0.0,0.05,1,EQ,BSE,BSE
4896257,19126,KIOCL,KIOCL,0,,0.0,0.05,1,EQ,NSE,NSE
128202244,500790,NESTLEIND,NESTLE INDIA,0,,0.0,0.05,1,EQ,BSE,BSE
4598529,17963,NESTLEIND,NESTLE INDIA,0,,0.0,0.1,1,EQ,NSE,NSE
136519172,533278,COALINDIA,COAL INDIA,0,,0.0,0.05,1,EQ,BSE,BSE
5215745,20374,COALINDIA,COAL INDIA,0,,0.0,0.05,1,EQ,NSE,NSE
136420868,532894,INDOWIND,INDOWIND ENERGY,0,,0.0,0.01,1,EQ,BSE,BSE
3827713,14952,INDOWIND,INDOWIND ENERGY,0,,0.0,0.01,1,EQ,NSE,NSE
135981828,531179,ARMANFIN,ARMAN FINANCIAL SERVICES,0,,0.0,0.05,1,EQ,BSE,BSE
4419329,17263,ARMANFIN,ARMAN FIN SERV,0,,0.0,0.1,1,EQ,NSE,NSE
128008708,500034,BAJFINANCE,BAJAJ FINANCE,0,,0.0,0.05,1,EQ,BSE,BSE
81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0.0,0.05,1,EQ,NSE,NSE
131012100,511766,MUTHOOTCAP,MUTHOOT CAPITAL SERVICES,0,,0.0,0.05,1,EQ,BSE,BSE
2666241,10415,MUTHOOTCAP,MUTHOOT CAP SERV,0,,0.0,0.01,1,EQ,NSE,NSE
136334084,532555,NTPC,NTPC,0,,0.0,0.05,1,EQ,BSE,BSE
2977281,11630,NTPC,NTPC,0,,0.0,0.05,1,EQ,NSE,NSE
136411908,532859,HGS,HINDUJA GLOBAL SOLUTIONS,0,,0.0,0.05,1,EQ,BSE,BSE
3766273,14712,HGS,HINDUJA GLOBAL SOLS.,0,,0.0,0.05,1,EQ,NSE,NSE
139067396,543232,CAMS,COMPUTER AGE MANAGEMENT SERVIC,0,,0.0,0.05,1,EQ,BSE,BSE
87553,342,CAMS,COMPUTER AGE MNGT SER,0,,0.0,0.05,1,EQ,NSE,NSE
135935748,530999,BALAMINES,BALAJI AMINES,0,,0.0,0.05,1,EQ,BSE,BSE
3712257,14501,BALAMINES,BALAJI AMINES,0,,0.0,0.1,1,EQ,NSE,NSE
136320004,532500,MARUTI,MARUTI SUZUKI INDIA,0,,0.0,0.05,1,EQ,BSE,BSE
2815745,10999,MARUTI,MARUTI SUZUKI INDIA,0,,0.0,1.0,1,EQ,NSE,NSE
128124932,500488,ABBOTINDIA,ABBOTT INDIA,0,,0.0,0.05,1,EQ,BSE,BSE
4583169,17903,ABBOTINDIA,ABBOTT INDIA,0,,0.0,5.0,1,EQ,NSE,NSE
136294404,532400,BSOFT,BIRLASOFT,0,,0.0,0.05,1,EQ,BSE,BSE
1790465,6994,BSOFT,BIRLASOFT,0,,0.0,0.05,1,EQ,NSE,NSE
129638660,506401,DEEPAKNTR,DEEPAK NITRITE,0,,0.0,0.05,1,EQ,BSE,BSE
5105409,19943,DEEPAKNTR,DEEPAK NITRITE,0,,0.0,0.1,1,EQ,NSE,NSE
128053764,500210,INGERRAND,INGERSOLL-RAND (INDIA),0,,0.0,0.05,1,EQ,BSE,BSE
408833,1597,INGERRAND,INGERSOLL-RAND INDIA,0,,0.0,0.1,1,EQ,NSE,NSE
139089412,543318,CLEAN,CLEAN SCIENCE AND TECHNOLOGY L,0,,0.0,0.05,1,EQ,BSE,BSE
1292545,5049,CLEAN,CLEAN SCIENCE & TECH,0,,0.0,0.05,1,EQ,NSE,NSE
136472580,533096,ADANIPOWER,ADANI POWER,0,,0.0,0.05,1,EQ,BSE,BSE
4451329,17388,ADANIPOWER,ADANI POWER,0,,0.0,0.01,1,EQ,NSE,NSE
136563460,533451,KARMAENG,KARMA ENERGY,0,,0.0,0.01,1,EQ,BSE,BSE
6242561,24385,KARMAENG,KARMA ENERGY,0,,0.0,0.01,1,EQ,NSE,NSE
138768900,542066,ATGL,ADANI TOTAL GAS,0,,0.0,0.05,1,EQ,BSE,BSE
1552897,6066,ATGL,ADANI TOTAL GAS,0,,0.0,0.05,1,EQ,NSE,NSE
130270468,508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LT,0,,0.0,0.05,1,EQ,BSE,BSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0.0,0.5,1,EQ,NSE,NSE
128211204,500825,BRITANNIA,BRITANNIA INDUSTRIES,0,,0.0,0.05,1,EQ,BSE,BSE
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0.0,0.5,1,EQ,NSE,NSE
136071940,531531,HATSUN,HATSUN AGRO PRODUCT,0,,0.0,0.05,1,EQ,BSE,BSE
996353,3892,HATSUN,HATSUN AGRO PRODUCT,0,,0.0,0.05,1,EQ,NSE,NSE
128083204,500325,RELIANCE,RELIANCE INDUSTRIES,0,,0.0,0.05,1,EQ,BSE,BSE
738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0.0,0.1,1,EQ,NSE,NSE
128046084,500180,HDFCBANK,HDFC BANK,0,,0.0,0.05,1,EQ,BSE,BSE
341249,1333,HDFCBANK,HDFC BANK,0,,0.0,0.05,1,EQ,NSE,NSE
211344645,825565,SENSEX26MARFUT,SENSEX,0,2026-03-25,0.0,0.05,20,FUT,BFO-FUT,BFO
218263557,852592,SENSEX26APRFUT,SENSEX,0,2026-04-30,0.0,0.05,20,FUT,BFO-FUT,BFO
222776325,870220,SENSEX26MAYFUT,SENSEX,0,2026-05-27,0.0,0.05,20,FUT,BFO-FUT,BFO
211574533,826463,BANKEX26MARFUT,BANKEX,0,2026-03-25,0.0,0.05,30,FUT,BFO-FUT,BFO
218528261,853626,BANKEX26APRFUT,BANKEX,0,2026-04-30,0.0,0.05,30,FUT,BFO-FUT,BFO
223026437,871197,BANKEX26MAYFUT,BANKEX,0,2026-05-27,0.0,0.05,30,FUT,BFO-FUT,BFO
13238786,51714,NIFTY26MARFUT,NIFTY,0,2026-03-30,0.0,0.1,65,FUT,NFO-FUT,NFO
17072898,66691,NIFTY26APRFUT,NIFTY,0,2026-04-28,0.0,0.1,65,FUT,NFO-FUT,NFO
16914178,66071,NIFTY26MAYFUT,NIFTY,0,2026-05-26,0.0,0.1,65,FUT,NFO-FUT,NFO
